,Time,User,Tweet
0,2023-01-08 18:35:07+00:00,Montieeee_,غريبة إني مبقيتش أعرف يومك كان ماشي إزاي، كل واحد لُه حياتُه وبقى فِ دُنيا بعيدة عن التاني، وسكك صعبة أوي تتلاقى..ص… https://t.co/6vhDBFptGX
1,2023-01-08 18:34:30+00:00,Montieeee_,"إزيك يا إبراهيم؟
أنا قُولت أكلمك، جيت على بالي النهارده فَقولت مش إشكال أما أعرف أخبارك إيه، أنا عارفة إن إحنا المف… https://t.co/iFZK4YCeoT"
2,2023-01-08 18:32:23+00:00,antiseso,عمر كمال عبدالواحد صفقة سوبر و اضافة كبيرة ان شاء الله، فى peak مستواه لاعيب دولى وخبرة هاترميه فى الملعب اى وقت ها… https://t.co/9WnE9Kujm9
3,2023-01-08 18:32:00+00:00,AlMosahfEN,"فَارْتَقِبْ إِنَّهُمْ مُرْتَقِبُونَ

Wait then (O Muhammad). Lo! they (too) are waiting ."
4,2023-01-08 18:31:52+00:00,nocontextfooty,https://t.co/jV3WXRovL6
5,2023-01-08 18:31:04+00:00,Fact,8 Things You Are Probably Doing Wrong Every Day... https://t.co/CvO0mdVvhZ
6,2023-01-08 18:30:00+00:00,AlMosahf,فَالَّذِينَ آمَنُوا بِهِ وَعَزَّرُوهُ وَنَصَرُوهُ وَاتَّبَعُوا النُّورَ الَّذِي أُنْزِلَ مَعَهُ ۙ أُولَٰئِكَ هُمُ الْمُفْلِحُونَ
7,2023-01-08 18:25:30+00:00,AlMosahf,وَرَحْمَتِي وَسِعَتْ كُلَّ شَيْءٍ ۚ فَسَأَكْتُبُهَا لِلَّذِينَ يَتَّقُونَ وَيُؤْتُونَ الزَّكَاةَ وَالَّذِينَ هُمْ بِآيَاتِنَا يُؤْمِنُونَ
8,2023-01-08 18:20:30+00:00,AlMosahf,وَاكْتُبْ لَنَا فِي هَٰذِهِ الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ إِنَّا هُدْنَا إِلَيْكَ ۚ
9,2023-01-08 18:20:22+00:00,Montieeee_,"Just a friendly reminder:
stick with the people who love you
and don’t spend a single second on the rest."
10,2023-01-08 18:20:06+00:00,introvertsmemes,Accurate 😂 https://t.co/SK5ShHpNdQ
11,2023-01-08 18:18:03+00:00,Fact,"When you stand up too fast and get dizzy, gravity has caused some of your blood to collect in your legs, depriving your brain of oxygen."
12,2023-01-08 18:17:43+00:00,OldandNowPic,RT @HarrisonWagnerr: I just found the best account on Twitter to follow 🔥
13,2023-01-08 18:17:30+00:00,AlMosahfEN,"{ إِنَّ رَبَّكَ لَذُو مَغْفِرَةٍ }

your Lord[Allah] is full of forgiveness for people"
14,2023-01-08 18:16:30+00:00,IAmSteveHarvey,.@FeudAfrica 🤣😂🤣 Well… you do have the same haircut! https://t.co/8SuKgFtHtm
15,2023-01-08 18:16:29+00:00,nocontextfooty,https://t.co/XI4X06hwrl
16,2023-01-08 18:16:03+00:00,todaymessagee,🤍
17,2023-01-08 18:15:21+00:00,TheMessiZone,RT @IconicDinho: Leo messi has always been way more decisive than Ronaldo in the UCL. https://t.co/Hp3DsKy5q8
18,2023-01-08 18:15:00+00:00,AlMosahf,أَنْتَ وَلِيُّنَا فَاغْفِرْ لَنَا وَارْحَمْنَا ۖ وَأَنْتَ خَيْرُ الْغَافِرِينَ
