,Time,User,Tweet
0,2023-01-03 15:50:05+00:00,AhlyInsider,صورة من قطار الأهلي السريع 😃🚇 https://t.co/U4mzqaWtve
1,2023-01-03 15:50:00+00:00,AlMosahf,إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ اللَّهِ لَا نُرِيدُ مِنْكُمْ جَزَاءً وَلَا شُكُورًا
2,2023-01-03 15:48:17+00:00,GoldenDose,"كريستيانو رونالدو بالبدلة يغادر متجهًا إلى مرسول بارك. 

 https://t.co/I4lpjeqTq9"
3,2023-01-03 15:47:00+00:00,AlMosahf,https://t.co/hyUDJcVCNg
4,2023-01-03 15:46:03+00:00,Fact,10 Super Foods For Clear Skin... https://t.co/ZoBpa7eZC0
5,2023-01-03 15:45:59+00:00,OldandNowPic,RT @AlexMarton19: I’m gonna go broke over all these monthly payments I have 😂
6,2023-01-03 15:45:57+00:00,OldandNowPic,RT @BizarreBuiIding: Abandoned potato sorting station in Ukraine https://t.co/khtHIiPVFU
7,2023-01-03 15:45:55+00:00,OldandNowPic,RT @BizarreBuiIding: Seoul's Wavy Skyscraper https://t.co/5xHA2F020b
8,2023-01-03 15:45:00+00:00,AlMosahf,وَيُطْعِمُونَ الطَّعَامَ عَلَىٰ حُبِّهِ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا
9,2023-01-03 15:42:55+00:00,Nadaaashraff_,I could seriously be having a bad day then my sister just sends a random pic of my baby nephew and that’s enough to make my day
10,2023-01-03 15:42:34+00:00,AM2013lyricsbot,"And as I arrived, I thought I saw you leaving carryin' your shoes"
11,2023-01-03 15:42:00+00:00,AlMosahfEN,وَمَاذَا عَلَيْهِمْ لَوْ آمَنُوا بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَأَنْفَقُوا مِمَّا رَزَقَهُمُ اللَّهُ ۚ وَكَانَ ال… https://t.co/nnW6c2llAG
12,2023-01-03 15:40:30+00:00,AlMosahf,يُوفُونَ بِالنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُ مُسْتَطِيرًا
13,2023-01-03 15:40:20+00:00,todaymessagee,🤍
14,2023-01-03 15:39:17+00:00,Nadaaashraff_,"RT @_Pammy_DS_: I have no energy to hate anyone. I seriously have no space in my heart to carry that shit around. I either love you, wish y…"
15,2023-01-03 15:37:23+00:00,CatastrophicVid,RT @AlexMarton19: tbh TrueFacet is the best place to buy a watch
16,2023-01-03 15:37:22+00:00,CatastrophicVid,RT @Animalbelngjerk: https://t.co/0CT5mgewRm
17,2023-01-03 15:37:18+00:00,CatastrophicVid,RT @Animalbelngjerk: https://t.co/3xWbuSsUhL
18,2023-01-03 15:37:03+00:00,Fact,"Positive thinking can actually help increase your lifespan, strengthen your immune system and lower rates of depression."
19,2023-01-03 15:35:02+00:00,jousdiary,RT @AliTriox2: Don’t call yourself a gamer if you never played this game https://t.co/eOKZjVgS84
